status_id,user_id,text,is_quote_status,retweet_count,favorite_count,favorited,retweeted,created_at
"1200190678984052736","2425228806","RT @antoinette_news: This is the first time suicide amongst serving and ex serving women has been measured and compared the the general pop…",false,10,0,false,false,"Thu Nov 28 23:12:10 +0000 2019"
"1200189747622109184","96898510","@ChiefAusArmy @DeptDefence @AustralianArmy @lindareynoldswa @DarrenChesterMP @DepChiefAusArmy @RSMAusArmy… https://t.co/FCYM77k77m",false,0,0,false,false,"Thu Nov 28 23:08:28 +0000 2019"
"1200189490083446784","1183540731299786752","@DVACommissioner @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack Comm… https://t.co/BM8j3GVJAI",false,0,3,false,false,"Thu Nov 28 23:07:27 +0000 2019"
"1200187500959895553","1183540731299786752","RT @DVACommissioner: #help spread the word 👍  @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack…",true,14,0,false,false,"Thu Nov 28 22:59:33 +0000 2019"
"1200184529509421056","341851496","RT @antoinette_news: This is the first time suicide amongst serving and ex serving women has been measured and compared the the general pop…",false,10,0,false,false,"Thu Nov 28 22:47:44 +0000 2019"
"1200180055940272129","969511052667846656","RT @DVACommissioner: #help spread the word 👍  @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack…",true,14,0,false,false,"Thu Nov 28 22:29:58 +0000 2019"
"1200179334142554112","483340179","RT @Manylivesinone: @DVACommissioner @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack Just in…",false,1,0,false,false,"Thu Nov 28 22:27:06 +0000 2019"
"1200178187214278657","357453472","RT @antoinette_news: This is the first time suicide amongst serving and ex serving women has been measured and compared the the general pop…",false,10,0,false,false,"Thu Nov 28 22:22:32 +0000 2019"
"1200177733898125316","166071271","Under questioning from @Senator_Patrick in senate estimates the @CAF_Australia has revealed the @AusAirForce is hav… https://t.co/HBonxv8qyq",false,0,1,false,false,"Thu Nov 28 22:20:44 +0000 2019"
"1200176815488192512","1157097060874637313","#Paratus Scott Winter👍  #ThankYouForYourService  @COMD3BDE @DeptDefence @AustralianArmy @DVAAus https://t.co/V30wYublPA",true,0,6,false,false,"Thu Nov 28 22:17:05 +0000 2019"
"1200176725457375232","983508625","RT @antoinette_news: This is the first time suicide amongst serving and ex serving women has been measured and compared the the general pop…",false,10,0,false,false,"Thu Nov 28 22:16:44 +0000 2019"
"1200176557370642432","44082577","RT @antoinette_news: This is the first time suicide amongst serving and ex serving women has been measured and compared the the general pop…",false,10,0,false,false,"Thu Nov 28 22:16:04 +0000 2019"
"1200175592647213056","144831082","@DVACommissioner @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack Just… https://t.co/xOgmBK0usd",false,1,0,false,false,"Thu Nov 28 22:12:14 +0000 2019"
"1200175570031529984","25887412","RT @antoinette_news: This is the first time suicide amongst serving and ex serving women has been measured and compared the the general pop…",false,10,0,false,false,"Thu Nov 28 22:12:08 +0000 2019"
"1200175548292419584","794424389454340096","RT @antoinette_news: This is the first time suicide amongst serving and ex serving women has been measured and compared the the general pop…",false,10,0,false,false,"Thu Nov 28 22:12:03 +0000 2019"
"1200174850515460096","237428127","This is the first time suicide amongst serving and ex serving women has been measured and compared the the general… https://t.co/AJOmmr2L4q",false,10,7,false,false,"Thu Nov 28 22:09:17 +0000 2019"
"1200171302041968640","636939692","RT @DVACommissioner: #help spread the word 👍  @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack…",true,14,0,false,false,"Thu Nov 28 21:55:11 +0000 2019"
"1200171206768390144","785439022315212800","RT @DVACommissioner: #help spread the word 👍  @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack…",true,14,0,false,false,"Thu Nov 28 21:54:48 +0000 2019"
"1200168033060188160","1672173973","RT @DVACommissioner: #help spread the word 👍  @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack…",true,14,0,false,false,"Thu Nov 28 21:42:11 +0000 2019"
"1200166430798417927","1082531141947658241","RT @DeptDefence: .@AusAirForce Base Richmond recently hosted a group of young Aboriginal and Torres Strait Islander students, as part of th…",false,9,0,false,false,"Thu Nov 28 21:35:49 +0000 2019"
"1200164561124331520","116142622","RT @PHuntAgri: AUSTRALIA’S #Defence force personnel should be trained to work on the ground backing up volunteers fighting major bushfires,…",false,1,0,false,false,"Thu Nov 28 21:28:24 +0000 2019"
"1200164334065852416","205474999","RT @DeptDefence: .@AustralianArmy Corporal Gerrit Donnelly and Lance Corporal Luke Adams, of the 3rd Combat Engineer Regiment, conduct a ve…",false,1,0,false,false,"Thu Nov 28 21:27:29 +0000 2019"
